70070934;Brasília/DF;Asa Sul;SAUS Quadra 3 Bloco C Lotes 2/3 ; Business Point
70070935;Brasília/DF;Asa Sul;SAUS Quadra 1 Bloco M Lote 4 ; Edifício Libertas
70070936;Brasília/DF;Asa Sul;SAUS Quadra 4 Bloco I Lote 3-A ; Organização das Cooperativas Brasileiras
70070937;Brasília/DF;Asa Sul;SAUS Quadra 5 Blocos K Lote 4 ; Edifício OK Office Tower
70070938;Brasília/DF;Asa Sul;SAUS Quadra 4 Lote 9/10 ; Edifício Victoria Office Tower
70070939;Brasília/DF;Asa Sul;SAUS Quadra 5 Bloco M Lote 1 ; Edifício Conselho Federal da OAB
70070940;Brasília/DF;Asa Sul;SAUS Quadra 6 Blocos C,E,F e H ; Edifício Anatel
70070941;Brasília/DF;Asa Sul;SAUS Quadra 1 Bloco N Lote 1 ; Edifício Terra Brasilis
70070942;Brasília/DF;Asa Sul;SAUS Quadra 4 Bloco N ; Ministério da Saúde - Funasa
70070943;Brasília/DF;Zona Cívico-Administrativa;SAFS Quadra 8 Lote 1 ; Tribunal Superior do Trabalho (TST)
70070944;Brasília/DF;Asa Sul;SAUS Quadra 1 Bloco J ; SEST SENAT
70070945;Brasília/DF;Asa Sul;SBS Quadra 2 Lote 11 ; Edifício Elcy Meireles
70070946;Brasília/DF;Asa Sul;SAUS Quadra 2 Bloco O ; Instituto Nacional do Seguro Social - Direção Central
70070973;Brasília/DF;Zona Cívico-Administrativa;SAFS Quadra 6 Lote 1 Trecho III Térreo ; AC Superior Tribunal de Justiça
70070974;Brasília/DF;Asa Sul;SBS Quadra 1 Bloco A Lote 31 Térreo s/n ; AC Galeria dos Estados
70071110;Brasília/DF;Asa Norte;SAIN Lote 1;
70071115;Brasília/DF;Asa Norte;SAIN Lote 2;
70071120;Brasília/DF;Asa Norte;SAIN Lote 3;
70071125;Brasília/DF;Asa Norte;SAIN Lote 4;
70071900;Brasília/DF;Asa Norte;SAIN Lote 4 ; Hospital da Abrace
70072900;Brasília/DF;Asa Sul;SBS Quadra 1 Bloco E Lote 24 ; Banco de Brasília S/A (BRB)
70073900;Brasília/DF;Asa Sul;SBS Quadra 1 Bloco A Lote 31 ; Banco do Brasil (Sede I)
70073901;Brasília/DF;Asa Sul;SBS Quadra 1 Bloco G Lote 32 ; Banco do Brasil (Sede III)
70073902;Brasília/DF;Asa Sul;SBS Quadra 2 Bloco H Lote 8 ; Banco do Brasil (Sede II)
70074900;Brasília/DF;Asa Sul;SBS Quadra 3 Bloco B ; Banco Central do Brasil
70075900;Brasília/DF;Zona Cívico-Administrativa;Praça do Buriti ; Palácio do Buriti (Governo do Distrito Federal)
70075901;Brasília/DF;Zona Cívico-Administrativa;Praça do Buriti ; Tribunal de Contas do Distrito Federal (TCDF)
70076900;Brasília/DF;Asa Sul;SBS Quadra 1 Bloco J Lote 30 ; Banco Nacional do Desenvolvimento Econômico Social (BNDES)
70077000;Brasília/DF;Asa Norte;SDN (Setor de Diversões Norte);
70077900;Brasília/DF;Asa Norte;SDN Lote Único ; Conjunto Nacional Brasília
70078900;Brasília/DF;Asa Sul;SBS Quadra 2 Bloco A Lote 19 ; Edifício Casa de São Paulo
70079900;Brasília/DF;Asa Sul;SAUS Quadra 3 Bloco O ; Secretaria da Receita Federal (Órgãos Regionais - MF)
70083900;Brasília/DF;Zona Cívico-Administrativa;Praça dos Três Poderes Anexo II ; Vice-Presidência da República
70089000;Brasília/DF;Zona Cívico-Administrativa;Estação Rodoviária de Brasília;
70089970;Brasília/DF;Zona Cívico-Administrativa;Estação Rodoviária de Brasília Mezanino Loja 21 ; AC Rodoviária
70091900;Brasília/DF;Zona Cívico-Administrativa;Praça do Buriti Bloco A ; Ministério Público do Distrito Federal e Territórios
70092900;Brasília/DF;Asa Sul;SBS Quadra 4 Bloco A Lotes 3/4 ; Caixa Econômica Federal
70093900;Brasília/DF;Asa Sul;SBS Quadra 1 Bloco K Lote 29 ; Edifício Seguradoras
70094900;Brasília/DF;Zona Cívico-Administrativa;Praça Municipal Lote 1 Bloco B ; Tribunal de Justiça do Distrito Federal e Territórios
70094901;Brasília/DF;Zona Cívico-Administrativa;Praça do Buriti Bloco D ; Tribunal Regional Eleitoral (TRE)
70094902;Brasília/DF;Zona Cívico-Administrativa;Praça Municipal Quadra 2 ; Camara Legislativa do Distrito Federal
70094970;Brasília/DF;Zona Cívico-Administrativa;Praça Municipal 5 Quadra 2 ; AC Câmara Legislativa
70094971;Brasília/DF;Zona Cívico-Administrativa;Praça Municipal Lote 1 Bloco B ; AC TJDFT
70095900;Brasília/DF;Zona Cívico-Administrativa;SAFS Quadra 6 Lote 1 ; Superior Tribunal de Justiça
70095901;Brasília/DF;Zona Cívico-Administrativa;SAFS Quadra 7 Lotes 1 e 2 ; Tribunal Superior Eleitoral (TSE)
70095902;Brasília/DF;Zona Cívico-Administrativa;SAFS Quadra 6 Lote 2 ; Superior Tribunal Militar (STM)
70097900;Brasília/DF;Asa Sul;Praça dos Tribunais Superiores Bloco D ; Tribunal Regional do Trabalho 10ª Região
